text,answers,คำพิพากษาศาลฎีกาที่
"ที่ดินโฉนดที่ 499 เนื้อที่ 56 ไร่ 68 ตารางวาเดิมเป็นกรรมสิทธิ์ของนายซอบิดาซึ่งถึงแก่กรรมโดยมิได้ทำพินัยกรรมโจทก์มีสิทธิได้รับมรดก 1 ใน 13 เป็นเนื้อที่ 4 ไร่ 1 งาน 29 ตารางวา ขอให้พิพากษาให้โจทก์ได้รับส่วนมรดกดังกล่าวร่วมกับจำเลย
จำเลยต่อสู้ว่า ทายาทได้ทำบันทึกแบ่งมรดกตามคำสั่งผู้ตายไว้ โจทก์มีส่วนได้เพียง 1 ไร่ 3 งาน 14 ตารางวาเศษ คดีโจทก์ขาดอายุความมรดก
นางนิ่ม โซ๊ะสลาม ในฐานะส่วนตัวและมารดาผู้แทนโดยชอบธรรมของนางสาวแสงทอง เด็กหญิงซาฟียะ นางสาวอามีเนาะ นางทองดี นายสว่างร้องสอดขอรับส่วนแบ่งมรดกในฐานะภริยาและบุตรเจ้ามรดก
ได้ความในเบื้องต้นว่า นายซอเจ้ามรดกมีภริยา 2 คน คือนางเชย และนางนิ่ม มีบุตรรวม 12 คน หลังเจ้ามรดกตาย บุตรทั้ง 12 คน ได้ลงนามทำบันทึกแบ่งมรดกตามเอกสาร ล.1 นางนิ่ม พิมพ์ลายนิ้วมือเป็นพยาน","20, 21, 113, 114, 135, 850, 1546, 1749, 1750, 1754",1319/2512
"จำเลยได้หักเงินในบัญชีเงินฝากของโจทก์ซึ่งฝากไว้กับธนาคารจำเลย จำนวน 370,462.82 บาท ชำระหนี้ตามคำพิพากษาตามยอมของศาลจังหวัดเชียงใหม่ โดยฝ่าฝืนคำพิพากษาตามยอมที่กำหนดให้ยึดทรัพย์ที่ดินจำนองของโจทก์ชำระหนี้ก่อนหากได้เงินจากการขายทอดตลาดทรัพย์จำนองไม่พอชำระหนี้ทั้งต้นเงินและดอกเบี้ยแล้ว จึงให้ยึดทรัพย์สินอื่นของโจทก์ซึ่งเป็นจำเลยที่ 1 ในคดีดังกล่าวกับจำเลยที่ 2 ในคดีนั้นจนครบถ้วน ขอให้บังคับจำเลยนำเงินจำนวน 370,462.82 บาท มาเข้าบัญชีเงินฝากคืนให้แก่โจทก์ที่ธนาคารจำเลย สาขาหางดง เป็นเงิน 1,494.39 บาท และที่สาขานานาเหนือจำนวน 368,968.43 บาท พร้อมชำระดอกเบี้ยแก่โจทก์นับตั้งแต่วันที่ 28 เมษายน 2540 ตามอัตราเงินฝากเป็นต้นไปจนกว่าโจทก์จะถอนเงินคืนมาได้
จำเลยให้การว่า ทรัพย์จำนองที่จำเลยยึดไว้เพื่อขายทอดตลาดนั้นมีมูลค่าซึ่งเจ้าพนักงานบังคับคดีประเมินไว้เพียง 19,968,300 บาท ซึ่งไม่พอชำระหนี้ของโจทก์ที่มีอยู่กับจำเลยและไม่มีผู้สนใจเข้าสู้ราคา การใช้สิทธิหักเงินฝากของโจทก์เป็นการใช้สิทธิหักกลบลบหนี้ซึ่งจำเลยมีสิทธิทำได้ตามกฎหมายและข้อตกลงตามสัญญาประนีประนอมยอมความมิได้ตัดสิทธิของจำเลยที่จะใช้สิทธิหักกลบลบหนี้ดังกล่าวกับโจทก์ เมื่อทรัพย์จำนองของโจทก์มีมูลค่าไม่พอชำระหนี้ซึ่งมีไม่น้อยกว่า 23,838,099.03 บาท โจทก์ไม่ได้รับความเสียหาย ขอให้ยกฟ้อง","341, 850 ",3635/2541
"โจทก์บรรยายฟ้องในส่วนหนี้เงินกู้ระบุไว้แจ้งชัดว่า จำเลยที่ 1 ตกลงกู้เงินบริษัทเงินทุนหลักทรัพย์กรุงไทย จำกัด (มหาชน) 2,148,647.44 บาท โดยจำเลยที่ 1 ตกลงผ่อนชำระต้นเงินพร้อมดอกเบี้ยรายเดือนรวม 144 งวด เป็นเงินงวดละ 33,700 บาท โดยเริ่มชำระงวดแรกภายในวันที่ 22 เมษายน 2538 และงวดถัดไปทุกวันที่ 22 ของเดือน และตกลงจะชำระหนี้ให้เสร็จสิ้นภายในวันที่ 22 มีนาคม 2550 นับแต่จำเลยที่ 1 ได้กู้เงินจากบริษัทผู้ให้กู้แล้ว จำเลยที่ 1 ผิดนัดไม่ชำระหนี้ตามที่ได้ตกลงกันไว้ในสัญญากู้ โดยในวันที่ 5 กรกฎาคม 2538 จำเลยที่ 1 ได้นำเงินมาชำระหนี้ครั้งสุดท้ายจำนวน 34,439.01 บาท ซึ่งเป็นการชำระดอกเบี้ยบางส่วน ทำให้วันดังกล่าวจำเลยที่ 1 ค้างชำระต้นเงินจำนวน 2,141,437.61 บาท และดอกเบี้ยจำนวน 48,578.36 บาท ขอให้บังคับจำเลยที่ 1 ในฐานะผู้กู้และจำเลยที่ 2 ในฐานะผู้ค้ำประกันชำระหนี้ดังกล่าวแก่โจทก์ โจทก์ขาดอายุความ เนื่องจากนำคดีมาฟ้องเมื่อพ้นกำหนดเวลา 5 ปี นับแต่วันที่ 6 กรกฎาคม 2538 ซึ่งเป็นวันที่โจทก์อาจบังคับสิทธิเรียกร้องของตนได้ ดังนี้การที่โจทก์นำคดีมาฟ้องเมื่อวันที่ 13 มิถุนายน 2544 คดีโจทก์จึงขาดอายุความแล้ว ส่วนข้ออ้างในฎีกาของโจทก์ว่า ในทางปฏิบัติจำเลยที่ 1 มิได้ชำระหนี้ตรงตามกำหนดชำระหนี้ตามงวดที่ระบุไว้ในสัญญากู้ ซึ่งปรากฏตามการ์ดเงินกู้ จำเลยที่ 1 นำเงินเข้าชำระในบัญชีเมื่อวันที่ 17 เมษายน 2538 จำนวน 33,700 บาท และครั้งสุดท้ายเมื่อวันที่ 5 กรกฎาคม 2538 จำนวน 34,439.01 บาท ",193/33,6854/2553
โจทก์ฟ้องว่าโจทก์เป็นเจ้าของที่ดินโฉนด 1779 อำเภอบางกอกใหญ่ โจทก์และประชาชนในย่านนี้ใช้ที่ดินของผู้อื่นและของจำเลยโฉนดที่ 1773 ซึ่งอยู่ติดต่อกันเป็นทางเดินผ่านเข้าออกสู่ทางสาธารณะมา 40-50 ปีแล้ว เป็นภาระจำยอม จำเลยซื้อที่ดินโฉนดที่ 1773 โดยรู้ดีอยู่แล้วว่า ผู้อื่นใช้ทางเดินผ่านกว่า 10 ปี จำเลยล้อมรั้วปิดกั้นทางเสีย จึงขอให้ศาลบังคับให้จำเลยรื้อรั้วเปิดทางเดินตามเดิมให้แสดงว่าทางนี้เป็นภารจำยอมบังคับให้จำเลยจดทะเบียน,"480, 1299, 1397, 1399",800/2502
" หลังจากสัญญาเช่าซื้อเลิกกันแล้ว โจทก์ยึดรถยนต์ที่เช่าซื้อคืนแล้วนำออกขายได้ราคา 409,090.91 บาท เมื่อหักออกจากค่าเช่าซื้อที่ค้างชำระเงินยังขาดอยู่ 798,946.83 บาท แต่โจทก์ขอคิดเพียง 600,000 บาท จึงเป็นการนำสืบว่า ค่าเสียหายที่โจทก์ขายรถยนต์ที่เช่าซื้อได้ราคาน้อยกว่าค่าเช่าซื้อที่ค้างชำระเกิดขึ้นหลังจากสัญญาเช่าซื้อเลิกกันแล้ว ค่าเสียหายที่โจทก์ขายรถยนต์ที่เช่าซือ้ได้ราคาน้อยกว่าค่าเช่าซื้อที่ค้างชำระ เป็นค่าเสียหายที่โจทก์จะทราบได้ต่อเมื่อโจทก์ได้รับรถยนต์ที่เช่าซื้อคืนและขายไปแล้ว จึงเป็นค่าเสียหายที่เกิดขึ้นหลังจากวันส่งคืนทรัพย์สินที่เช่าซื้อ","193/30,  563",5032/2547
"คดีสืบเนื่องมาจากศาลชั้นต้นพิพากษาให้จำเลยชำระหนี้โจทก์ ต่อมาโจทก์นำเจ้าพนักงานบังคับคดียึดสิทธิการเช่าอาคารพาณิชย์ เลขที่ 405 และ 407 ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช ที่จำเลยเช่าจากผู้ร้องขายทอดตลาดเพื่อบังคับชำระหนี้ตามคำพิพากษา ผู้ร้องขอรับชำระหนี้จากการขายทอดตลาดสิทธิการเช่า โดยอาศัยบุริมสิทธิพิเศษเหนือสังหาริมทรัพย์ได้หรือไม่ ผู้ร้องฎีกาว่า เงินที่ได้จากการขายทอดตลาดสิทธิการเช่าเป็นเงินที่ผู้โอนหรือผู้ให้เช่าช่วงจะพึงได้รับจากผู้รับโอนหรือผู้เช่าช่วงตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 262 ประกอบกับข้อสัญญาที่จำเลยทำไว้กับผู้ร้อง ผู้ร้องย่อมนำเงินที่ได้จากการขายทอดตลาด 108,000 บาท นำมาคำนวณเป็นเงินค่าตอบแทนการโอนสิทธิการเช่าในอัตราร้อยละ 15 เป็นการชอบด้วยกฎหมาย","261, 259",3821/2552
พิเคราะห์แล้ว ข้อเท็จจริงรับฟังได้ในเบื้องต้นว่า จำเลยทำสัญญาขายลดเช็คแก่โจทก์จำนวน 4 ครั้งเมื่อเช็คแต่ละฉบับถึงกำหนดชำระเงินโจทก์ดำเนินการเรียกเก็บเงินแต่ธนาคารตามเช็คปฏิเสธการจ่ายเงินทุกฉบับ จำเลยจึงต้องรับผิดชำระเงินต้นพร้อมดอกเบี้ยในยอดเงินตามเช็คแต่ละฉบับนับตั้งแต่ธนาคารปฏิเสธการจ่ายเงินจนกว่าจะชำระเสร็จ ตามรายการคิดดอกเบี้ยสินเชื่อผิดนัด,379,7328/2541
"จทก์เป็นเจ้าของที่ดินตามหนังสือรับรองการทำประโยชน์เลขที่148เนื้อที่3ไร่1งานเมื่อประมาณ20ปีมาแล้วนาย วัน พี่ชายโจทก์ได้กู้เงินจากจำเลย5,000บาทโจทก์ยอมให้จำเลยเก็บดอกผลในที่ดินดังกล่าวบางส่วนเนื้อที่ประมาณ1ไร่เศษแทนดอกเบี้ยซึ่งนาย วันจะต้องชำระแก่จำเลยต่อมาเมื่อประมาณเดือนสิงหาคม2531โจทก์ไปขอชำระเงินกู้จำนวน5,000บาทแก่จำเลยและจะเข้าเก็บดอกผลในที่ดินที่ให้จำเลยเก็บดอกผลอยู่แต่จำเลยไม่ยอมรับชำระหนี้และไม่ยอมให้โจทก์เข้าเก็บดอกผลในที่ดินดังกล่าวโดยอ้างว่าซื้อที่ดินจากนาย วันแล้วและจำเลยได้ไปขอออกหนังสือรับรองการทำประโยชน์ประเภทก.เลขที่110และ113ขอให้จำเลยไปยกเลิกหนังสือรับรองการทำประโยชน์ดังกล่าวหากไม่ปฏิบัติตามให้ถือเอาคำพิพากษาของศาลแทนการแสดงเจตนาของจำเลยและให้จำเลยส่งมอบที่ดินพิพาทแก่โจทก์ห้ามเกี่ยวข้องในที่ดินดังกล่าวโดยโจทก์จะต้องชำระเงินจำนวน5,000บาทแก่จำเลย
จำเลยให้การและฟ้องแย้งว่าที่ดินตามฟ้องเดิมเป็นของบิดาโจทก์ต่อมาซีกทิศเหนือตกทอดแก่โจทก์ซีกทิศใต้ตกทอดแก่นาย วันพี่ชายโจทก์นาย วันได้ขายที่ดินส่วนของตนให้แก่จำเลยเมื่อวันที่14ตุลาคม2510ในราคา10,000บาทนาย วันได้รับเงินไปแล้วและสละสิทธิครอบครองให้แก่จำเลยตั้งแต่วันขายโดยโจทก์ทราบเรื่องดีหลังจากนั้นจำเลยได้ปลูกมะพร้าวจนได้รับผลมาประมาณ15ปีแล้วโจทก์หรือบุคคลอื่นไม่เคยโต้แย้งสิทธิของจำเลยต่อมาทางหลวงสาธารณะตัดผ่านแบ่งที่ดินของจำเลยออกเป็น2แปลงและในพ.ศ.2519เจ้าพนักงานที่ดินได้เดินสำรวจออกน.ส.3ก.ให้จำเลยคือน.ส.3ก.เลขที่110เนื้อที่1ไร่90ตารางวาและน.ส.3ก.เลขที่113เนื้อที่1งาน86ตารางวาส่วนน.ส.3ก.ของจำเลยจะออกทับที่ดินตามน.ส.3ของโจทก์หรือไม่ไม่รับรองจำเลยครอบครองเป็นเจ้าของที่ดินมาถึง21ปีเศษแล้วโดยไม่มีผู้ใดโต้แย้งคัดค้านฟ้องโจทก์จึงขาดอายุความขอให้ยกฟ้องและพิพากษาว่าจำเลยมีสิทธิครอบครองในที่ดินพิพาทตามเนื้อที่ในน.ส.3ก.เลขที่110และ113หากที่ดินตามน.ส.3ก.เลขที่110และ113ออกทับที่ดินน.ส.3เลขที่148ให้ศาลเพิกถอนน.ส.3ก.เลขที่110และ113และให้โจทก์แบ่งแยกแล้วโอนที่ดินทางทิศใต้ให้จำเลยในเนื้อที่เท่ากับในน.ส.3ก.เลขที่110และ113หากโจทก์ไม่ดำเนินการให้ถือเอาคำพิพากษาแทนการแสดงเจตนา
โจทก์ให้การแก้ฟ้องแย้งว่าจำเลยครอบครองที่ดินพิพาทแทนโจทก์ตลอดมานาย วันไม่มีอำนาจเอาที่ดินของโจทก์ไปขายให้จำเลยสัญญาซื้อขายจึงเป็นโมฆะขอให้ยกฟ้องแย้ง
ศาลชั้นต้นพิพากษาให้จำเลยส่งมอบที่ดินพิพาทให้แก่โจทก์ห้ามเกี่ยวข้องอีกต่อไปให้โจทก์ชำระเงินแก่จำเลย5,000บาทและให้เพิกถอนหนังสือรับรองการทำประโยชน์เลขที่110เลขที่35เล่มที่2กหน้า10และเลขที่113เลขที่ดิน41เล่มที่2กหน้า11ตำบล ดอนสักอำเภอดอนสัก จังหวัดสุราษฎร์ธานียกฟ้องแย้ง","1367,1374, 1381",1021/2538
"โจทก์ฟ้องขอบังคับให้จำเลยทั้งสามรับชำระเงินค่าใช้จ่ายส่วนกลางของห้องชุดเลขที่ 22/500 ชั้นที่ 16 อัตราเดือนละ 878 บาท และเลขที่ 22/579 ชั้นที่ 21 อัตราเดือนละ 805 บาท ย้อนหลังไป 5 ปี นับแต่วันที่จำเลยทั้งสามออกหนังสือรับรองการปลอดหนี้ให้แก่โจทก์ และให้จำเลยทั้งสามร่วมกันออกหนังสือรับรองการปลอดหนี้แก่โจทก์ หากจำเลยทั้งสามเพิกเฉยให้ถือเอาคำพิพากษาแทนการแสดงเจตนาของจำเลยทั้งสาม
จำเลยทั้งสามให้การขอให้ยกฟ้อง
ศาลชั้นต้นพิพากษาให้จำเลยที่ 1 รับชำระเงินค่าใช้จ่ายส่วนกลางของห้องชุดเลขที่ 22/500 ชั้นที่ 16 และเลขที่ 22/579 ชั้นที่ 21 อาคารเลขที่ 1 อาคารชุดเอเวอร์กรีน วิว ทาวเวอร์ ทะเบียนอาคารชุดเลขที่ 32/2536 ตั้งอยู่บนที่ดินโฉนดเลขที่ 233102 แขวงบางนา เขตพระโขนง กรุงเทพมหานคร ในอัตราเดือนละ 878 บาท และในอัตราเดือนละ 805 บาท ตามลำดับ ย้อนหลังไป 5 ปี นับแต่วันฟ้อง (ฟ้องวันที่ 8 เมษายน 2554) พร้อมค่าปรับในอัตราร้อยละ 7.5 ต่อปี ของต้นเงินค่าใช้จ่ายส่วนกลางห้องพิพาททั้งสองห้องดังกล่าวจากโจทก์ เมื่อโจทก์ชำระค่าใช้จ่ายส่วนกลางและค่าปรับดังกล่าวครบถ้วนแล้วให้จำเลยที่ 1 ออกหนังสือรับรองการปลอดหนี้แก่โจทก์ หากจำเลยที่ 1 เพิกเฉยให้ถือเอาคำพิพากษาแทนการแสดงเจตนาของจำเลยที่ 1 ยกฟ้องจำเลยที่ 2 และที่ 3 ค่าฤชาธรรมเนียมให้เป็นพับ","193/9, 193/10, 193/29, 193/30, 193/33, 381, 383",9528/2557
"จำเลยได้จ้างโจทก์เข้าทำงานเป็นลูกจ้าง ต่อมาจำเลยเลิกจ้างโจทก์โดยโจทก์ไม่มีความผิดและมิได้บอกกล่าวล่วงหน้าและมิได้จ่ายค่าชดเชยให้แก่โจทก์ ขอให้บังคับจำเลยจ่ายค่าชดเชยเท่ากับค่าจ้างอัตราสุดท้ายสามสิบวันจ่ายสินจ้างแทนการบอกกล่าวล่วงหน้า
จำเลยให้การว่า จำเลยมิได้เลิกจ้างโจทก์ เนื่องจากสัญญาจ้างแรงงานระหว่างโจทก์กับจำเลยมีกำหนดระยะเวลาที่แน่นอน คือ มีกำหนดระยะเวลาการจ้าง 11 เดือน เมื่อครบกำหนดตามสัญญาแล้วจำเลยมิได้ต่อสัญญาจ้างแรงงานให้โจทก์ สัญญาจ้างดังกล่าวจึงสิ้นสุดลงจำเลยจึงไม่จำต้องบอกกล่าวล่วงหน้าและไม่ต้องจ่ายค่าชดเชยให้แก่โจทก์ ขอให้ยกฟ้อง
ศาลแรงงานกลางวินิจฉัยว่า โจทก์เป็นลูกจ้างจำเลย เมื่อครบกำหนดตามสัญญาจ้างแล้ว จำเลยมิได้ต่อสัญญาให้แก่โจทก์ สัญญาจ้างระหว่างโจทก์จำเลยเป็นสัญญาจ้างที่มีกำหนดระยะเวลาแน่นอน ไม่จำเป็นต้องบอกกล่าวล่วงหน้า จำเลยเลิกจ้างโจทก์โดยไม่ต่อสัญญาให้จึงไม่ต้องบอกกล่าวล่วงหน้าและไม่ต้องจ่ายสินจ้างแทนการบอกกล่าวล่วงหน้า งานที่โจทก์ทำเป็นการผลิตกระบอกไฟฉายและหลอดไฟฉายเพื่อส่งออก ลักษณะงานเป็นงานถาวร มิใช่เป็นงานครั้งคราว เป็นการจร เป็นไปตามฤดูกาล หรือเป็นงานตามโครงการ การเลิกจ้างของจำเลยไม่เข้าข้อยกเว้นที่จะไม่ต้องจ่ายค่าชดเชยแก่ลูกจ้าง ให้จำเลยจ่ายค่าชดเชยแก่โจทก์ 3,450 บาท ",582,584/2536
